ROI_name,Region Name,SUM of UC,SUM of OC,Inconsistency,Equal,Label
A14m_R,A39rv_L,1,0,False,False,300
A14m_R,A39rv_R,1,0,False,False,301
A14m_R,aSTS_L,1,0,False,False,302
aSTS_L,A14m_R,1,0,False,False,302
A14m_R,dmPOS_L,1,0,False,False,303
A14m_R,IFJ_R,1,0,False,False,304
A14m_R,Left I-IV,1,0,False,False,305
A14m_R,Left IX,1,0,False,False,306
A14m_R,rCunG_R,1,0,False,False,307
A14m_R,rLinG_L,1,0,False,False,308
A14m_R,vmPOS_L,1,0,False,False,309
A14m_R,vmPOS_R,1,0,False,False,310
A20cl_L,A10m_L,1,0,False,False,311
A20cl_L,A6cdl_L,1,0,False,False,312
A20cl_L,A6dl_L,1,0,False,False,313
A20cl_L,A8dl_L,1,0,False,False,314
A8dl_L,A20cl_L,1,0,False,False,314
A20cl_L,A8vl_L,1,0,False,False,315
A8vl_L,A20cl_L,1,0,False,False,315
A20cl_L,A9m_L,1,0,False,False,316
A20cl_L,IFJ_L,1,0,False,False,317
IFJ_L,A20cl_L,1,0,False,False,317
A20il_L,A10m_L,1,0,False,False,318
A20il_L,A32p_L,1,0,False,False,319
A20il_L,A32p_R,1,0,False,False,320
A20il_L,A9l_L,1,0,False,False,321
A20il_L,A9m_L,1,0,False,False,322
A20il_L,A9m_R,1,0,False,False,323
A21c_L,A10m_R,1,0,False,False,324
A21c_L,A11m_L,1,0,False,False,325
A21c_L,A12/47o_R,1,0,False,False,326
A21c_L,A20cv_L,1,0,False,False,327
A21c_L,A20r_L,1,0,False,False,328
A21c_L,A21c_R,1,0,False,False,329
A21c_L,A21r_L,1,0,False,False,330
A21r_L,A21c_L,1,0,False,False,330
A21c_L,A23d_L,1,0,False,False,331
A21c_L,A23d_R,1,0,False,False,332
A21c_L,A31_L,1,0,False,False,333
A21c_L,A31_R,1,0,False,False,334
A21c_L,A32p_L,1,0,False,False,335
A21c_L,A32p_R,1,0,False,False,336
