Cluster Number,Max Value,Num Voxels,Percentage of Voxel,MNI Coordinates,Region Name,ROI_Idx,ROI_name,Conectivity
1,-11.0,47,18.146718146718147, 3 -57 21,A31_R,41,A14m_L,-1
1,-11.0,7,4.57516339869281, 0 -54 24,A23d_L,41,A14m_L,-1
1,-11.0,6,5.607476635514018, 6 -48 24,A23d_R,41,A14m_L,-1
1,-10.0,3,2.9702970297029703, -6 -54 12,A23v_L,41,A14m_L,-1
1,-10.0,7,8.75, 6 -48 15,A23v_R,41,A14m_L,-1
1,-10.0,1,0.4032258064516129, 0 -72 18,rCunG_L,41,A14m_L,-1
1,-10.0,5,2.242152466367713, 0 -66 15,rCunG_R,41,A14m_L,-1
1,-10.0,5,1.6666666666666667, 0 -69 18,vmPOS_L,41,A14m_L,-1
1,-10.0,24,7.717041800643087, 6 -63 15,vmPOS_R,41,A14m_L,-1
2,-11.0,1,0.3125, 12 -57 27,dmPOS_R,41,A14m_L,-1
3,-11.0,1,0.3125, 12 -54 21,dmPOS_R,41,A14m_L,-1
4,-10.0,6,3.9215686274509802, 0 -33 39,A23d_L,41,A14m_L,-1
4,-10.0,8,7.4766355140186915, 3 -30 36,A23d_R,41,A14m_L,-1
4,-11.0,17,9.770114942528735, 0 -24 39,A23c_L,41,A14m_L,-1
4,-11.0,26,19.25925925925926, 6 -24 39,A23c_R,41,A14m_L,-1
5,-10.0,1,0.42735042735042733, -3 -57 -51,Left IX,41,A14m_L,-1
5,-10.0,1,0.38022813688212925, 0 -57 -51,Right IX,41,A14m_L,-1
6,-11.0,2,0.8097165991902834, 0 63 6,A10m_R,41,A14m_L,-1
7,-10.0,1,0.44052863436123346, -63 -12 -18,A21r_L,41,A14m_L,-1
7,-11.0,3,1.1450381679389312, -63 -9 -18,aSTS_L,41,A14m_L,-1
1,-15.0,73,18.1592039800995, 51 -57 24,A39rv_R,42,A14m_R,-1
2,-10.0,2,0.7490636704119851, 33 -30 60,A1/2/3ulhf_R,42,A14m_R,-1
2,-10.0,2,1.092896174863388, 30 -30 60,A1/2/3tru_R,42,A14m_R,-1
3,-10.0,2,1.098901098901099, 33 9 36,IFJ_R,42,A14m_R,-1
4,-10.0,2,1.092896174863388, 27 -33 63,A1/2/3tru_R,42,A14m_R,-1
5,-15.0,38,14.671814671814673, -6 -60 12,dmPOS_L,42,A14m_R,-1
5,-15.0,18,5.625, 9 -57 18,dmPOS_R,42,A14m_R,-1
5,-15.0,42,17.647058823529413, -3 -60 18,A31_L,42,A14m_R,-1
5,-15.0,52,20.077220077220076, 3 -57 21,A31_R,42,A14m_R,-1
5,-14.0,18,11.764705882352942, 0 -54 24,A23d_L,42,A14m_R,-1
