ROI_name,Region Name,SUM of UC,SUM of OC,Inconsistency,Equal
A14m_L,A31_R,1,0,FALSE,FALSE
A14m_L,aSTS_L,1,0,FALSE,FALSE
A14m_L,dmPOS_L,1,0,FALSE,FALSE
A14m_L,Left IX,1,0,FALSE,FALSE
A14m_L,rCunG_L,1,0,FALSE,FALSE
A14m_L,rCunG_R,1,0,FALSE,FALSE
A14m_L,Right IX,1,0,FALSE,FALSE
A14m_L,vmPOS_L,1,0,FALSE,FALSE
A14m_L,vmPOS_R,1,0,FALSE,FALSE
A14m_R,A1/2/3ulhf_R,1,0,FALSE,FALSE
A14m_R,A10m_R,1,0,FALSE,FALSE
A14m_R,A21c_L,1,0,FALSE,FALSE
A14m_R,A21r_L,1,0,FALSE,FALSE
A14m_R,A23c_L,1,0,FALSE,FALSE
A14m_R,A23c_R,1,0,FALSE,FALSE
A14m_R,A23v_L,1,0,FALSE,FALSE
A14m_R,A23v_R,1,0,FALSE,FALSE
A14m_R,A24rv_L,1,0,FALSE,FALSE
A14m_R,A31_L,1,0,FALSE,FALSE
A14m_R,A31_R,1,0,FALSE,FALSE
A14m_R,A39rv_L,1,0,FALSE,FALSE
A14m_R,A39rv_R,1,0,FALSE,FALSE
A14m_R,aSTS_L,1,0,FALSE,FALSE
A14m_R,dmPOS_L,1,0,FALSE,FALSE
A14m_R,IFJ_R,1,0,FALSE,FALSE
A14m_R,Left I-IV,1,0,FALSE,FALSE
A14m_R,Left IX,1,0,FALSE,FALSE
A14m_R,rCunG_R,1,0,FALSE,FALSE
A14m_R,rLinG_L,1,0,FALSE,FALSE
A14m_R,vmPOS_L,1,0,FALSE,FALSE
A14m_R,vmPOS_R,1,0,FALSE,FALSE
A20cl_L,A10m_L,1,0,FALSE,FALSE
A20cl_L,A6cdl_L,1,0,FALSE,FALSE
A20cl_L,A6dl_L,1,0,FALSE,FALSE
A20cl_L,A8dl_L,1,0,FALSE,FALSE
A20cl_L,A8vl_L,1,0,FALSE,FALSE
A20cl_L,A9m_L,1,0,FALSE,FALSE
A20cl_L,IFJ_L,1,0,FALSE,FALSE
A20il_L,A10m_L,1,0,FALSE,FALSE
A20il_L,A12/47o_L,1,0,FALSE,FALSE
A20il_L,A32p_L,1,0,FALSE,FALSE
A20il_L,A32p_R,1,0,FALSE,FALSE
A20il_L,A9l_L,1,0,FALSE,FALSE
A20il_L,A9m_L,1,0,FALSE,FALSE
A20il_L,A9m_R,1,0,FALSE,FALSE
A21c_L,A10m_R,1,0,FALSE,FALSE
A21c_L,A11m_L,1,0,FALSE,FALSE
A21c_L,A12/47o_R,1,0,FALSE,FALSE
A21c_L,A14m_R,1,0,FALSE,FALSE
A21c_L,A20cv_L,1,0,FALSE,FALSE
A21c_L,A20r_L,1,0,FALSE,FALSE
A21c_L,A21c_R,1,0,FALSE,FALSE
A21c_L,A21r_L,1,0,FALSE,FALSE
A21c_L,A23d_L,1,0,FALSE,FALSE
A21c_L,A23d_R,1,0,FALSE,FALSE
A21c_L,A31_L,1,0,FALSE,FALSE
A21c_L,A31_R,1,0,FALSE,FALSE
A21c_L,A32p_L,1,0,FALSE,FALSE
A21c_L,A32p_R,1,0,FALSE,FALSE
A21c_L,A32sg_R,1,0,FALSE,FALSE
A21c_L,A39c_L,1,0,FALSE,FALSE
A21c_L,A39c_R,1,0,FALSE,FALSE
A21c_L,A39rd_L,1,0,FALSE,FALSE
A21c_L,A39rd_R,1,0,FALSE,FALSE
A21c_L,A39rv_L,1,0,FALSE,FALSE
A21c_L,A40c_L,1,0,FALSE,FALSE
A21c_L,A44d_L,1,0,FALSE,FALSE
A21c_L,A44v_L,1,0,FALSE,FALSE
A21c_L,A45c_L,1,0,FALSE,FALSE
A21c_L,A6cdl_L,1,0,FALSE,FALSE
A21c_L,A6cvl_L,1,0,FALSE,FALSE
A21c_L,A6dl_L,1,0,FALSE,FALSE
A21c_L,A6vl_L,1,0,FALSE,FALSE
A21c_L,A8dl_L,1,0,FALSE,FALSE
A21c_L,A8dl_R,1,0,FALSE,FALSE
A21c_L,A8m_R,1,0,FALSE,FALSE
A21c_L,A8vl_L,1,0,FALSE,FALSE
A21c_L,A9/46d_R,1,0,FALSE,FALSE
A21c_L,A9/46v_L,1,0,FALSE,FALSE
A21c_L,A9l_L,1,0,FALSE,FALSE
A21c_L,A9l_R,1,0,FALSE,FALSE
A21c_L,A9m_L,1,0,FALSE,FALSE
A21c_L,A9m_R,1,0,FALSE,FALSE
A21c_L,dmPOS_L,1,0,FALSE,FALSE
A21c_L,dmPOS_R,1,0,FALSE,FALSE
