ROI_name,Region Name,SUM of UC,SUM of OC,Inconsistency,Equal,Label
A11m_R,Left IX,1,0,False,False,Single
A11m_R,Left V,1,0,False,False,Single
A11m_R,rCunG_L,1,0,False,False,Single
A11m_R,rCunG_R,1,0,False,False,Single
A11m_R,Right I-IV,1,0,False,False,Single
A11m_R,Right IX,1,0,False,False,Single
A11m_R,Right V,1,0,False,False,Single
A11m_R,rLinG_L,1,0,False,False,Single
A11m_R,rLinG_R,1,0,False,False,Single
A11m_R,V5/MT+_L,1,0,False,False,Single
A11m_R,vmPOS_L,1,0,False,False,19
A11m_R,vmPOS_R,1,0,False,False,Single
A12/47l_L,A21c_L,1,0,False,False,Single
A12/47l_L,A22c_L,1,0,False,False,Single
A12/47l_L,aSTS_L,1,0,False,False,20
A12/47l_L,rpSTS_L,1,0,False,False,21
A12/47o_L,A20cl_L,1,0,False,False,Single
A12/47o_L,A20il_L,1,0,False,False,22
A12/47o_L,A21c_L,1,0,False,False,Single
A12/47o_L,A21r_L,1,0,False,False,23
A12/47o_L,A22c_L,1,0,False,False,Single
A12/47o_L,A37dl_L,1,0,False,False,Single
A12/47o_L,A8dl_L,1,0,False,False,Single
A12/47o_L,A9l_L,1,0,False,False,Single
A12/47o_L,cpSTS_L,1,0,False,False,Single
A12/47o_L,rpSTS_L,1,0,False,False,24
A14m_L,A21r_L,1,0,False,False,25
A14m_L,A23c_L,1,0,False,False,Single
A14m_L,A23c_R,1,0,False,False,Single
A14m_L,A23v_L,1,0,False,False,Single
A14m_L,A23v_R,1,0,False,False,26
A14m_L,A31_L,1,0,False,False,Single
A14m_L,A31_R,1,0,False,False,Single
A14m_L,aSTS_L,1,0,False,False,Single
A14m_L,dmPOS_L,1,0,False,False,Single
A14m_L,Left IX,1,0,False,False,Single
A14m_L,rCunG_L,1,0,False,False,Single
A14m_L,rCunG_R,1,0,False,False,Single
A14m_L,Right IX,1,0,False,False,Single
A14m_L,vmPOS_L,1,0,False,False,Single
A14m_L,vmPOS_R,1,0,False,False,Single
A14m_R,A1/2/3ulhf_R,1,0,False,False,Single
A14m_R,A21c_L,1,0,False,False,27
A14m_R,A21r_L,1,0,False,False,Single
A14m_R,A23c_L,1,0,False,False,Single
A14m_R,A23c_R,1,0,False,False,28
A14m_R,A23v_L,1,0,False,False,Single
A14m_R,A23v_R,1,0,False,False,Single
A14m_R,A24rv_L,1,0,False,False,Single
A14m_R,A31_L,1,0,False,False,Single
A14m_R,A31_R,1,0,False,False,Single
A14m_R,A39rv_L,1,0,False,False,Single
A14m_R,A39rv_R,1,0,False,False,Single
A14m_R,aSTS_L,1,0,False,False,29
A14m_R,dmPOS_L,1,0,False,False,Single
A14m_R,IFJ_R,1,0,False,False,Single
A14m_R,Left I-IV,1,0,False,False,Single
A14m_R,Left IX,1,0,False,False,Single
A14m_R,rCunG_R,1,0,False,False,Single
A14m_R,rLinG_L,1,0,False,False,Single
A14m_R,vmPOS_L,1,0,False,False,Single
A14m_R,vmPOS_R,1,0,False,False,Single
A20cl_L,A10m_L,1,0,False,False,Single
A20cl_L,A6cdl_L,1,0,False,False,Single
A20cl_L,A6dl_L,1,0,False,False,Single
A20cl_L,A8dl_L,1,0,False,False,30
A20cl_L,A8vl_L,1,0,False,False,31
A20cl_L,A9m_L,1,0,False,False,Single
A20cl_L,IFJ_L,1,0,False,False,32
A20il_L,A10m_L,1,0,False,False,Single
A20il_L,A32p_L,1,0,False,False,Single
A20il_L,A32p_R,1,0,False,False,Single
A20il_L,A9l_L,1,0,False,False,Single
A20il_L,A9m_L,1,0,False,False,Single
A20il_L,A9m_R,1,0,False,False,Single
A21c_L,A10m_R,1,0,False,False,Single
A21c_L,A11m_L,1,0,False,False,Single
A21c_L,A12/47o_R,1,0,False,False,Single
A21c_L,A20cv_L,1,0,False,False,Single
A21c_L,A20r_L,1,0,False,False,Single
A21c_L,A21c_R,1,0,False,False,Single
A21c_L,A21r_L,1,0,False,False,33
A21c_L,A23d_L,1,0,False,False,Single
A21c_L,A23d_R,1,0,False,False,Single
A21c_L,A31_L,1,0,False,False,Single
A21c_L,A31_R,1,0,False,False,Single
A21c_L,A32p_L,1,0,False,False,Single
A21c_L,A32p_R,1,0,False,False,Single
A21c_L,A32sg_R,1,0,False,False,Single
A21c_L,A39c_L,1,0,False,False,Single
A21c_L,A39c_R,1,0,False,False,Single
A21c_L,A39rd_L,1,0,False,False,Single
A21c_L,A39rd_R,1,0,False,False,Single
A21c_L,A39rv_L,1,0,False,False,Single
A21c_L,A40c_L,1,0,False,False,Single
A21c_L,A44d_L,1,0,False,False,Single
A21c_L,A44v_L,1,0,False,False,Single
A21c_L,A45c_L,1,0,False,False,Single
A21c_L,A6cdl_L,1,0,False,False,Single
A21c_L,A6cvl_L,1,0,False,False,Single
A21c_L,A6dl_L,1,0,False,False,Single
A21c_L,A6vl_L,1,0,False,False,34
A21c_L,A8dl_L,1,0,False,False,35
A21c_L,A8dl_R,1,0,False,False,Single
A21c_L,A8m_R,1,0,False,False,Single
A21c_L,A8vl_L,1,0,False,False,36
A21c_L,A9/46d_R,1,0,False,False,Single
A21c_L,A9/46v_L,1,0,False,False,Single
A21c_L,A9l_L,1,0,False,False,Single
A21c_L,A9l_R,1,0,False,False,Single
A21c_L,A9m_L,1,0,False,False,Single
A21c_L,A9m_R,1,0,False,False,Single
A21c_L,dmPOS_L,1,0,False,False,Single
A21c_L,dmPOS_R,1,0,False,False,Single
A21c_L,IFJ_R,1,0,False,False,Single
A21c_L,IFS_L,1,0,False,False,Single
A21c_L,mOccG_L,1,0,False,False,Single
A21c_L,rCunG_R,1,0,False,False,Single
A21c_L,Right Crus I,1,0,False,False,Single
A21c_L,Right Crus II,1,0,False,False,Single
A21c_L,vmPOS_L,1,0,False,False,Single
A21c_L,vmPOS_R,1,0,False,False,Single
A21r_L,A11m_L,1,0,False,False,Single
A21r_L,A12/47l_L,1,0,False,False,Single
A21r_L,A20il_L,1,0,False,False,Single
A21r_L,A21c_R,1,0,False,False,Single
A21r_L,A21r_R,1,0,False,False,37
A21r_L,A22c_L,1,0,False,False,Single
A21r_L,A22c_R,1,0,False,False,Single
A21r_L,A22r_R,1,0,False,False,Single
A21r_L,A23c_L,1,0,False,False,38
A21r_L,A23c_R,1,0,False,False,Single
A21r_L,A23d_R,1,0,False,False,Single
A21r_L,A23v_L,1,0,False,False,39
A21r_L,A23v_R,1,0,False,False,Single
A21r_L,A31_L,1,0,False,False,40
A21r_L,A32p_L,1,0,False,False,Single
A21r_L,A32sg_R,1,0,False,False,Single
A21r_L,A39c_L,1,0,False,False,Single
A21r_L,A39rd_L,1,0,False,False,Single
A21r_L,A39rd_R,1,0,False,False,Single
A21r_L,A39rv_R,1,0,False,False,Single
A21r_L,A40rv_L,1,0,False,False,Single
A21r_L,A41/42_L,1,0,False,False,Single
A21r_L,A46_R,1,0,False,False,Single
A21r_L,A4ll_L,1,0,False,False,Single
A21r_L,A5m_L,1,0,False,False,Single
A21r_L,A8dl_R,1,0,False,False,Single
A21r_L,A8m_L,1,0,False,False,Single
A21r_L,A9/46d_L,1,0,False,False,Single
A21r_L,A9/46d_R,1,0,False,False,Single
A21r_L,A9l_R,1,0,False,False,Single
A21r_L,A9m_L,1,0,False,False,41
A21r_L,A9m_R,1,0,False,False,42
A21r_L,aSTS_R,1,0,False,False,Single
A21r_L,cpSTS_L,1,0,False,False,43
A21r_L,dmPOS_L,1,0,False,False,44
A21r_L,Left I-IV,1,0,False,False,Single
A21r_L,rCunG_L,1,0,False,False,Single
A21r_L,rCunG_R,1,0,False,False,Single
A21r_L,rpSTS_L,1,0,False,False,45
A21r_L,vmPOS_L,1,0,False,False,46
A21r_L,vmPOS_R,1,0,False,False,Single
A21r_R,A1/2/3ll_L,1,0,False,False,Single
A21r_R,A1/2/3ll_R,1,0,False,False,Single
A21r_R,A10m_R,1,0,False,False,Single
A21r_R,A12/47o_L,1,0,False,False,Single
A21r_R,A14m_L,1,0,False,False,Single
A21r_R,A14m_R,1,0,False,False,Single
A21r_R,A20cl_R,1,0,False,False,Single
A21r_R,A20cv_R,1,0,False,False,Single
A21r_R,A20il_R,1,0,False,False,Single
A21r_R,A21c_R,1,0,False,False,Single
A21r_R,A23c_L,1,0,False,False,47
A21r_R,A23c_R,1,0,False,False,48
A21r_R,A23d_L,1,0,False,False,Single
A21r_R,A23d_R,1,0,False,False,Single
A21r_R,A23v_L,1,0,False,False,Single
A21r_R,A23v_R,1,0,False,False,Single
A21r_R,A24rv_L,1,0,False,False,Single
A21r_R,A32p_L,1,0,False,False,49
A21r_R,A32p_R,1,0,False,False,Single
A21r_R,A32sg_R,1,0,False,False,Single
A21r_R,A39c_L,1,0,False,False,Single
A21r_R,A39rd_L,1,0,False,False,Single
A21r_R,A39rd_R,1,0,False,False,Single
A21r_R,A39rv_R,1,0,False,False,Single
A21r_R,A40c_L,1,0,False,False,Single
A21r_R,A40rv_L,1,0,False,False,Single
A21r_R,A46_R,1,0,False,False,Single
A21r_R,A4ll_L,1,0,False,False,Single
A21r_R,A4ll_R,1,0,False,False,Single
A21r_R,A5m_L,1,0,False,False,Single
A21r_R,A5m_R,1,0,False,False,Single
A21r_R,A7m_L,1,0,False,False,Single
A21r_R,A8dl_L,1,0,False,False,50
A21r_R,A8vl_R,1,0,False,False,Single
A21r_R,A9/46d_L,1,0,False,False,Single
A21r_R,A9/46d_R,1,0,False,False,Single
A21r_R,A9l_R,1,0,False,False,Single
A21r_R,A9m_L,1,0,False,False,51
